2025-08-08 16:31:33 | INFO     | EtiquetadorZPL | __init__:39 | Ventana principal creada
2025-08-08 16:31:33 | INFO     | EtiquetadorZPL | __init__:52 | === Aplicación iniciada ===
2025-08-08 16:31:33 | INFO     | EtiquetadorZPL | create_widgets:90 | Creando widgets de la interfaz...
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | create_widgets:222 | Interfaz creada completamente
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | load_config:269 | Iniciando carga de configuración...
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | load_config:271 | Llamando a cargar_configuracion()...
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | load_config:273 | Configuración cargada: True
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | load_config:295 | ✅ Configuración cargada
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | __init__:60 | Configuración cargada exitosamente
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | <module>:569 | Aplicación creada, iniciando run()...
2025-08-08 16:31:35 | INFO     | EtiquetadorZPL | run:561 | Iniciando mainloop...
2025-08-08 16:33:02 | INFO     | EtiquetadorZPL | <module>:569 | Creando aplicación...
2025-08-08 16:33:02 | INFO     | EtiquetadorZPL | __init__:28 | Creando ventana principal...
2025-08-08 16:33:02 | INFO     | EtiquetadorZPL | __init__:39 | Ventana principal creada
2025-08-08 16:33:02 | INFO     | EtiquetadorZPL | __init__:52 | === Aplicación iniciada ===
2025-08-08 16:33:02 | INFO     | EtiquetadorZPL | create_widgets:90 | Creando widgets de la interfaz...
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | create_widgets:224 | Interfaz creada completamente
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | load_config:271 | Iniciando carga de configuración...
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | load_config:273 | Llamando a cargar_configuracion()...
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | load_config:275 | Configuración cargada: True
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | load_config:297 | ✅ Configuración cargada
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | __init__:60 | Configuración cargada exitosamente
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | <module>:571 | Aplicación creada, iniciando run()...
2025-08-08 16:33:03 | INFO     | EtiquetadorZPL | run:563 | Iniciando mainloop...
2025-08-08 16:33:15 | INFO     | EtiquetadorZPL | save_config:335 | 💾 Configuración guardada
2025-08-08 16:33:17 | INFO     | EtiquetadorZPL | start_monitoring:348 | Iniciando validación de configuración...
2025-08-08 16:33:17 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 1...
2025-08-08 16:33:17 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 1: Ruta válida - C:/EtiquetasFlex
2025-08-08 16:33:17 | WARNING  | EtiquetadorZPL | _validar_impresora:83 | No se pudo verificar impresora Godex GE300: (1722, 'EnumPrinters', 'El servidor RPC no está disponible.')
2025-08-08 16:33:17 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 1: Impresora válida - Godex GE300
2025-08-08 16:33:17 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 1: Carpeta de historial creada/verificada - C:/EtiquetasHistorial
2025-08-08 16:33:17 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 2...
2025-08-08 16:33:17 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 2: Ruta válida - C:/Users/Usuario/Desktop/Facturas
2025-08-08 16:33:17 | WARNING  | EtiquetadorZPL | _validar_impresora:83 | No se pudo verificar impresora WF-C5790 Series(Network): (1722, 'EnumPrinters', 'El servidor RPC no está disponible.')
2025-08-08 16:33:17 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 2: Impresora válida - WF-C5790 Series(Network)
2025-08-08 16:33:17 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 2: Carpeta de historial creada/verificada - C:/Users/Usuario/Desktop/Facturas/historial
2025-08-08 16:33:17 | INFO     | EtiquetadorZPL | start_monitoring:369 | Validación exitosa. Iniciando monitoreo...
2025-08-08 16:36:20 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:36:41 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:37:52 | INFO     | EtiquetadorZPL | __init__:44 | === Aplicación iniciada ===
2025-08-08 16:40:05 | INFO     | EtiquetadorZPL | <module>:559 | Creando aplicación...
2025-08-08 16:40:05 | INFO     | EtiquetadorZPL | __init__:28 | Creando ventana principal...
2025-08-08 16:40:05 | INFO     | EtiquetadorZPL | __init__:39 | Ventana principal creada
2025-08-08 16:40:05 | INFO     | EtiquetadorZPL | apply_theme:72 | Tema moderno aplicado
2025-08-08 16:40:05 | INFO     | EtiquetadorZPL | __init__:52 | === Aplicación iniciada ===
2025-08-08 16:40:05 | INFO     | EtiquetadorZPL | create_widgets:86 | Creando widgets de la interfaz...
2025-08-08 16:40:06 | INFO     | EtiquetadorZPL | create_widgets:220 | Interfaz creada completamente
2025-08-08 16:40:06 | INFO     | EtiquetadorZPL | load_config:267 | Iniciando carga de configuración...
2025-08-08 16:40:06 | INFO     | EtiquetadorZPL | load_config:269 | Llamando a cargar_configuracion()...
2025-08-08 16:40:06 | INFO     | EtiquetadorZPL | load_config:271 | Configuración cargada: True
2025-08-08 16:40:06 | INFO     | EtiquetadorZPL | load_config:293 | ✅ Configuración cargada
2025-08-08 16:40:06 | INFO     | EtiquetadorZPL | __init__:60 | Configuración cargada exitosamente
2025-08-08 16:40:06 | INFO     | EtiquetadorZPL | <module>:561 | Aplicación creada, iniciando run()...
2025-08-08 16:40:06 | INFO     | EtiquetadorZPL | run:553 | Iniciando mainloop...
2025-08-08 16:40:17 | INFO     | EtiquetadorZPL | start_monitoring:344 | Iniciando validación de configuración...
2025-08-08 16:40:17 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 1...
2025-08-08 16:40:17 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 1: Ruta válida - C:/EtiquetasFlex
2025-08-08 16:40:17 | WARNING  | EtiquetadorZPL | _validar_impresora:83 | No se pudo verificar impresora Godex GE300: (1722, 'EnumPrinters', 'El servidor RPC no está disponible.')
2025-08-08 16:40:17 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 1: Impresora válida - Godex GE300
2025-08-08 16:40:17 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 1: Carpeta de historial creada/verificada - C:/EtiquetasHistorial
2025-08-08 16:40:17 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 2...
2025-08-08 16:40:17 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 2: Ruta válida - C:/Users/Usuario/Desktop/Facturas
2025-08-08 16:40:17 | WARNING  | EtiquetadorZPL | _validar_impresora:83 | No se pudo verificar impresora WF-C5790 Series(Network): (1722, 'EnumPrinters', 'El servidor RPC no está disponible.')
2025-08-08 16:40:17 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 2: Impresora válida - WF-C5790 Series(Network)
2025-08-08 16:40:17 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 2: Carpeta de historial creada/verificada - C:/Users/Usuario/Desktop/Facturas/historial
2025-08-08 16:40:17 | INFO     | EtiquetadorZPL | start_monitoring:365 | Validación exitosa. Iniciando monitoreo...
2025-08-08 16:42:37 | INFO     | EtiquetadorZPL | <module>:559 | Creando aplicación...
2025-08-08 16:42:37 | INFO     | EtiquetadorZPL | __init__:28 | Creando ventana principal...
2025-08-08 16:42:37 | INFO     | EtiquetadorZPL | __init__:39 | Ventana principal creada
2025-08-08 16:42:37 | INFO     | EtiquetadorZPL | apply_theme:72 | Tema moderno aplicado
2025-08-08 16:42:37 | INFO     | EtiquetadorZPL | __init__:52 | === Aplicación iniciada ===
2025-08-08 16:42:37 | INFO     | EtiquetadorZPL | create_widgets:86 | Creando widgets de la interfaz...
2025-08-08 16:42:38 | INFO     | EtiquetadorZPL | create_widgets:220 | Interfaz creada completamente
2025-08-08 16:42:38 | INFO     | EtiquetadorZPL | load_config:267 | Iniciando carga de configuración...
2025-08-08 16:42:38 | INFO     | EtiquetadorZPL | load_config:269 | Llamando a cargar_configuracion()...
2025-08-08 16:42:38 | INFO     | EtiquetadorZPL | load_config:271 | Configuración cargada: True
2025-08-08 16:42:38 | INFO     | EtiquetadorZPL | load_config:293 | ✅ Configuración cargada
2025-08-08 16:42:38 | INFO     | EtiquetadorZPL | __init__:60 | Configuración cargada exitosamente
2025-08-08 16:42:38 | INFO     | EtiquetadorZPL | <module>:561 | Aplicación creada, iniciando run()...
2025-08-08 16:42:38 | INFO     | EtiquetadorZPL | run:553 | Iniciando mainloop...
2025-08-08 16:42:43 | INFO     | EtiquetadorZPL | start_monitoring:344 | Iniciando validación de configuración...
2025-08-08 16:42:43 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 1...
2025-08-08 16:42:43 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 1: Ruta válida - C:/EtiquetasFlex
2025-08-08 16:42:43 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 1: Impresora válida - Godex GE300
2025-08-08 16:42:43 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 1: Carpeta de historial creada/verificada - C:/EtiquetasHistorial
2025-08-08 16:42:43 | INFO     | EtiquetadorZPL | validar_configuracion_completa:20 | Validando carpeta 2...
2025-08-08 16:42:43 | DEBUG    | EtiquetadorZPL | _validar_ruta:64 | Carpeta 2: Ruta válida - C:/Users/Usuario/Desktop/Facturas
2025-08-08 16:42:43 | DEBUG    | EtiquetadorZPL | _validar_impresora:91 | Carpeta 2: Impresora válida - WF-C5790 Series(Network)
2025-08-08 16:42:43 | DEBUG    | EtiquetadorZPL | _validar_historial:105 | Carpeta 2: Carpeta de historial creada/verificada - C:/Users/Usuario/Desktop/Facturas/historial
2025-08-08 16:42:43 | INFO     | EtiquetadorZPL | start_monitoring:365 | Validación exitosa. Iniciando monitoreo...
2025-08-08 16:42:43 | INFO     | EtiquetadorZPL | _start_monitoring_thread:440 | 📁 Monitoreando: C:/EtiquetasFlex -> Godex GE300
2025-08-08 16:42:43 | INFO     | EtiquetadorZPL | _start_monitoring_thread:440 | 📁 Monitoreando: C:/Users/Usuario/Desktop/Facturas -> WF-C5790 Series(Network)
2025-08-08 16:42:44 | INFO     | EtiquetadorZPL | _update_ui_monitoring_started:459 | 📡 Monitoreo iniciado en 2 carpetas
2025-08-08 16:43:24 | INFO     | EtiquetadorZPL | stop_monitoring:497 | ⏹️ Monitoreo detenido en todas las carpetas
2025-08-08 17:06:32 | INFO     | EtiquetadorZPL | __init__:45 | === Aplicación iniciada ===
